category,benchmark,tool,source_edge_count,static_edge_count,covered_count,missed_count,coverage,tool_output_present
ImplicitFlows,ImplicitFlow4,GATOR,10,2982,9,1,0.9,yes
ImplicitFlows,ImplicitFlow4,MAMADROID,10,14,7,3,0.7,yes
ImplicitFlows,ImplicitFlow4,NATIDROID,10,5231,9,1,0.9,yes
InterAppCommunication,SendSMS,Androguard,18,3986,18,0,1.0,yes
InterAppCommunication,SendSMS,FlowDroid,18,36,15,3,0.833333,yes
InterAppCommunication,SendSMS,GATOR,18,4973,18,0,1.0,yes
InterAppCommunication,SendSMS,MAMADROID,18,33,15,3,0.833333,yes
InterAppCommunication,SendSMS,NATIDROID,18,7186,18,0,1.0,yes
InterAppCommunication,StartActivityForResult1,Androguard,21,3991,21,0,1.0,yes
InterAppCommunication,StartActivityForResult1,FlowDroid,21,40,17,4,0.809524,yes
InterAppCommunication,StartActivityForResult1,GATOR,21,4982,21,0,1.0,yes
InterAppCommunication,StartActivityForResult1,MAMADROID,21,37,17,4,0.809524,yes
InterAppCommunication,StartActivityForResult1,NATIDROID,21,7204,21,0,1.0,yes
InterComponentCommunication,ActivityCommunication1,Androguard,7,2343,7,0,1.0,yes
InterComponentCommunication,ActivityCommunication1,FlowDroid,7,16,5,2,0.714286,yes
InterComponentCommunication,ActivityCommunication1,GATOR,7,2983,7,0,1.0,yes
InterComponentCommunication,ActivityCommunication1,MAMADROID,7,14,5,2,0.714286,yes
InterComponentCommunication,ActivityCommunication1,NATIDROID,7,5287,7,0,1.0,yes
InterComponentCommunication,ActivityCommunication2,Androguard,12,4342,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication2,FlowDroid,12,30,10,2,0.833333,yes
InterComponentCommunication,ActivityCommunication2,GATOR,12,5428,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication2,MAMADROID,12,26,10,2,0.833333,yes
InterComponentCommunication,ActivityCommunication2,NATIDROID,12,7941,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication3,Androguard,14,4344,14,0,1.0,yes
InterComponentCommunication,ActivityCommunication3,FlowDroid,14,32,12,2,0.857143,yes
InterComponentCommunication,ActivityCommunication3,GATOR,14,5430,14,0,1.0,yes
InterComponentCommunication,ActivityCommunication3,MAMADROID,14,28,12,2,0.857143,yes
InterComponentCommunication,ActivityCommunication3,NATIDROID,14,7943,14,0,1.0,yes
InterComponentCommunication,ActivityCommunication4,Androguard,11,4341,11,0,1.0,yes
InterComponentCommunication,ActivityCommunication4,FlowDroid,11,26,9,2,0.818182,yes
InterComponentCommunication,ActivityCommunication4,GATOR,11,5427,11,0,1.0,yes
InterComponentCommunication,ActivityCommunication4,MAMADROID,11,22,9,2,0.818182,yes
InterComponentCommunication,ActivityCommunication4,NATIDROID,11,7940,11,0,1.0,yes
InterComponentCommunication,ActivityCommunication5,Androguard,12,4342,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication5,FlowDroid,12,27,10,2,0.833333,yes
InterComponentCommunication,ActivityCommunication5,GATOR,12,5428,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication5,MAMADROID,12,23,10,2,0.833333,yes
InterComponentCommunication,ActivityCommunication5,NATIDROID,12,7941,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication6,Androguard,13,4343,13,0,1.0,yes
InterComponentCommunication,ActivityCommunication6,FlowDroid,13,28,11,2,0.846154,yes
InterComponentCommunication,ActivityCommunication6,GATOR,13,5429,13,0,1.0,yes
InterComponentCommunication,ActivityCommunication6,MAMADROID,13,24,11,2,0.846154,yes
InterComponentCommunication,ActivityCommunication6,NATIDROID,13,7942,13,0,1.0,yes
InterComponentCommunication,ActivityCommunication7,Androguard,12,4342,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication7,FlowDroid,12,27,10,2,0.833333,yes
InterComponentCommunication,ActivityCommunication7,GATOR,12,5428,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication7,MAMADROID,12,23,10,2,0.833333,yes
InterComponentCommunication,ActivityCommunication7,NATIDROID,12,7941,12,0,1.0,yes
InterComponentCommunication,ActivityCommunication8,Androguard,13,4343,13,0,1.0,yes
InterComponentCommunication,ActivityCommunication8,FlowDroid,13,28,11,2,0.846154,yes
InterComponentCommunication,ActivityCommunication8,GATOR,13,5429,13,0,1.0,yes
InterComponentCommunication,ActivityCommunication8,MAMADROID,13,24,11,2,0.846154,yes
InterComponentCommunication,ActivityCommunication8,NATIDROID,13,7942,13,0,1.0,yes
InterComponentCommunication,BroadcastTaintAndLeak1,Androguard,4,12,4,0,1.0,yes
InterComponentCommunication,BroadcastTaintAndLeak1,FlowDroid,4,23,4,0,1.0,yes
InterComponentCommunication,BroadcastTaintAndLeak1,GATOR,4,25,4,0,1.0,yes
InterComponentCommunication,BroadcastTaintAndLeak1,MAMADROID,4,23,4,0,1.0,yes
InterComponentCommunication,BroadcastTaintAndLeak1,NATIDROID,4,1987,4,0,1.0,yes
InterComponentCommunication,ComponentNotInManifest1,Androguard,8,4342,8,0,1.0,yes
InterComponentCommunication,ComponentNotInManifest1,FlowDroid,8,21,7,1,0.875,yes
InterComponentCommunication,ComponentNotInManifest1,GATOR,8,5429,8,0,1.0,yes
InterComponentCommunication,ComponentNotInManifest1,MAMADROID,8,18,7,1,0.875,yes
InterComponentCommunication,ComponentNotInManifest1,NATIDROID,8,7941,8,0,1.0,yes
InterComponentCommunication,EventOrdering1,Androguard,15,4347,15,0,1.0,yes
InterComponentCommunication,EventOrdering1,FlowDroid,15,28,10,5,0.666667,yes
InterComponentCommunication,EventOrdering1,GATOR,15,5430,11,4,0.733333,yes
InterComponentCommunication,EventOrdering1,MAMADROID,15,24,10,5,0.666667,yes
InterComponentCommunication,EventOrdering1,NATIDROID,15,7942,11,4,0.733333,yes
InterComponentCommunication,IntentSink1,Androguard,9,2345,9,0,1.0,yes
InterComponentCommunication,IntentSink1,FlowDroid,9,14,7,2,0.777778,yes
InterComponentCommunication,IntentSink1,GATOR,9,2983,9,0,1.0,yes
InterComponentCommunication,IntentSink1,MAMADROID,9,11,7,2,0.777778,yes
InterComponentCommunication,IntentSink1,NATIDROID,9,5332,9,0,1.0,yes
InterComponentCommunication,IntentSink2,Androguard,12,2348,12,0,1.0,yes
InterComponentCommunication,IntentSink2,FlowDroid,12,16,9,3,0.75,yes
InterComponentCommunication,IntentSink2,GATOR,12,2985,11,1,0.916667,yes
InterComponentCommunication,IntentSink2,MAMADROID,12,15,9,3,0.75,yes
InterComponentCommunication,IntentSink2,NATIDROID,12,5288,11,1,0.916667,yes
InterComponentCommunication,IntentSource1,Androguard,7,4342,7,0,1.0,yes
InterComponentCommunication,IntentSource1,FlowDroid,7,21,5,2,0.714286,yes
InterComponentCommunication,IntentSource1,GATOR,7,5392,7,0,1.0,yes
InterComponentCommunication,IntentSource1,MAMADROID,7,15,5,2,0.714286,yes
InterComponentCommunication,IntentSource1,NATIDROID,7,7685,7,0,1.0,yes
InterComponentCommunication,ServiceCommunication1,Androguard,16,24,16,0,1.0,yes
InterComponentCommunication,ServiceCommunication1,FlowDroid,16,34,13,3,0.8125,yes
InterComponentCommunication,ServiceCommunication1,GATOR,16,49,16,0,1.0,yes
InterComponentCommunication,ServiceCommunication1,MAMADROID,16,30,10,6,0.625,yes
InterComponentCommunication,ServiceCommunication1,NATIDROID,16,2424,16,0,1.0,yes
InterComponentCommunication,SharedPreferences1,Androguard,9,11,9,0,1.0,yes
InterComponentCommunication,SharedPreferences1,FlowDroid,9,16,5,4,0.555556,yes
InterComponentCommunication,SharedPreferences1,GATOR,9,16,6,3,0.666667,yes
InterComponentCommunication,SharedPreferences1,MAMADROID,9,14,5,4,0.555556,yes
InterComponentCommunication,SharedPreferences1,NATIDROID,9,2314,6,3,0.666667,yes
InterComponentCommunication,Singletons1,Androguard,7,9,7,0,1.0,yes
InterComponentCommunication,Singletons1,FlowDroid,7,21,7,0,1.0,yes
InterComponentCommunication,Singletons1,GATOR,7,17,7,0,1.0,yes
InterComponentCommunication,Singletons1,MAMADROID,7,19,7,0,1.0,yes
InterComponentCommunication,Singletons1,NATIDROID,7,2315,7,0,1.0,yes
InterComponentCommunication,UnresolvableIntent1,Androguard,15,4344,15,0,1.0,yes
InterComponentCommunication,UnresolvableIntent1,FlowDroid,15,32,13,2,0.866667,yes
InterComponentCommunication,UnresolvableIntent1,GATOR,15,5432,15,0,1.0,yes
InterComponentCommunication,UnresolvableIntent1,MAMADROID,15,28,13,2,0.866667,yes
InterComponentCommunication,UnresolvableIntent1,NATIDROID,15,7944,15,0,1.0,yes
Lifecycle,ActivityLifecycle1,Androguard,6,2348,6,0,1.0,yes
Lifecycle,ActivityLifecycle1,FlowDroid,6,21,5,1,0.833333,yes
Lifecycle,ActivityLifecycle1,GATOR,6,2986,6,0,1.0,yes
Lifecycle,ActivityLifecycle1,MAMADROID,6,20,5,1,0.833333,yes
Lifecycle,ActivityLifecycle1,NATIDROID,6,5285,6,0,1.0,yes
Lifecycle,ActivityLifecycle2,Androguard,8,2343,8,0,1.0,yes
Lifecycle,ActivityLifecycle2,FlowDroid,8,15,6,2,0.75,yes
Lifecycle,ActivityLifecycle2,GATOR,8,2984,8,0,1.0,yes
Lifecycle,ActivityLifecycle2,MAMADROID,8,14,6,2,0.75,yes
Lifecycle,ActivityLifecycle2,NATIDROID,8,5288,8,0,1.0,yes
Lifecycle,ActivityLifecycle3,Androguard,5,2343,5,0,1.0,yes
Lifecycle,ActivityLifecycle3,FlowDroid,5,12,4,1,0.8,yes
Lifecycle,ActivityLifecycle3,GATOR,5,2982,5,0,1.0,yes
Lifecycle,ActivityLifecycle3,MAMADROID,5,11,4,1,0.8,yes
Lifecycle,ActivityLifecycle3,NATIDROID,5,5286,5,0,1.0,yes
Lifecycle,ActivityLifecycle4,Androguard,9,2343,9,0,1.0,yes
Lifecycle,ActivityLifecycle4,FlowDroid,9,17,7,2,0.777778,yes
Lifecycle,ActivityLifecycle4,GATOR,9,2984,9,0,1.0,yes
Lifecycle,ActivityLifecycle4,MAMADROID,9,16,7,2,0.777778,yes
Lifecycle,ActivityLifecycle4,NATIDROID,9,5288,9,0,1.0,yes
Lifecycle,ActivitySavedState1,Androguard,7,9,7,0,1.0,yes
Lifecycle,ActivitySavedState1,FlowDroid,7,12,5,2,0.714286,yes
Lifecycle,ActivitySavedState1,GATOR,7,20,7,0,1.0,yes
Lifecycle,ActivitySavedState1,MAMADROID,7,11,5,2,0.714286,yes
Lifecycle,ActivitySavedState1,NATIDROID,7,2316,7,0,1.0,yes
Lifecycle,ApplicationLifecycle1,Androguard,8,2343,8,0,1.0,yes
Lifecycle,ApplicationLifecycle1,FlowDroid,8,15,6,2,0.75,yes
Lifecycle,ApplicationLifecycle1,GATOR,8,2982,8,0,1.0,yes
Lifecycle,ApplicationLifecycle1,MAMADROID,8,13,6,2,0.75,yes
Lifecycle,ApplicationLifecycle1,NATIDROID,8,5286,8,0,1.0,yes
Lifecycle,ApplicationLifecycle2,Androguard,5,2343,5,0,1.0,yes
Lifecycle,ApplicationLifecycle2,FlowDroid,5,14,4,1,0.8,yes
Lifecycle,ApplicationLifecycle2,GATOR,5,2982,5,0,1.0,yes
Lifecycle,ApplicationLifecycle2,MAMADROID,5,12,4,1,0.8,yes
Lifecycle,ApplicationLifecycle2,NATIDROID,5,5286,5,0,1.0,yes
Lifecycle,ApplicationLifecycle3,Androguard,7,2729,7,0,1.0,yes
Lifecycle,ApplicationLifecycle3,FlowDroid,7,23,4,3,0.571429,yes
Lifecycle,ApplicationLifecycle3,GATOR,7,3482,7,0,1.0,yes
Lifecycle,ApplicationLifecycle3,MAMADROID,7,18,4,3,0.571429,yes
Lifecycle,ApplicationLifecycle3,NATIDROID,7,5756,7,0,1.0,yes
Lifecycle,AsynchronousEventOrdering1,Androguard,5,6,5,0,1.0,yes
Lifecycle,AsynchronousEventOrdering1,FlowDroid,5,13,4,1,0.8,yes
Lifecycle,AsynchronousEventOrdering1,GATOR,5,14,5,0,1.0,yes
Lifecycle,AsynchronousEventOrdering1,MAMADROID,5,12,4,1,0.8,yes
Lifecycle,AsynchronousEventOrdering1,NATIDROID,5,2313,5,0,1.0,yes
Lifecycle,BroadcastReceiverLifecycle2,Androguard,14,4344,14,0,1.0,yes
Lifecycle,BroadcastReceiverLifecycle2,FlowDroid,14,22,11,3,0.785714,yes
Lifecycle,BroadcastReceiverLifecycle2,GATOR,14,5372,14,0,1.0,yes
Lifecycle,BroadcastReceiverLifecycle2,MAMADROID,14,22,11,3,0.785714,yes
Lifecycle,BroadcastReceiverLifecycle2,NATIDROID,14,7682,14,0,1.0,yes
Lifecycle,EventOrdering1,Androguard,3,6,3,0,1.0,yes
Lifecycle,EventOrdering1,FlowDroid,3,12,3,0,1.0,yes
Lifecycle,EventOrdering1,GATOR,3,14,3,0,1.0,yes
Lifecycle,EventOrdering1,MAMADROID,3,11,3,0,1.0,yes
Lifecycle,EventOrdering1,NATIDROID,3,2313,3,0,1.0,yes
Lifecycle,FragmentLifecycle1,Androguard,25,3971,25,0,1.0,yes
Lifecycle,FragmentLifecycle1,FlowDroid,25,25,9,16,0.36,yes
Lifecycle,FragmentLifecycle1,GATOR,25,4968,20,5,0.8,yes
Lifecycle,FragmentLifecycle1,MAMADROID,25,24,9,16,0.36,yes
Lifecycle,FragmentLifecycle1,NATIDROID,25,7227,20,5,0.8,yes
Lifecycle,FragmentLifecycle2,Androguard,42,2073,42,0,1.0,yes
Lifecycle,FragmentLifecycle2,FlowDroid,42,50,18,24,0.428571,yes
Lifecycle,FragmentLifecycle2,GATOR,42,2604,32,10,0.761905,yes
Lifecycle,FragmentLifecycle2,MAMADROID,42,45,18,24,0.428571,yes
Lifecycle,FragmentLifecycle2,NATIDROID,42,4696,32,10,0.761905,yes
Lifecycle,ServiceLifecycle2,Androguard,8,8,8,0,1.0,yes
Lifecycle,ServiceLifecycle2,FlowDroid,8,18,7,1,0.875,yes
Lifecycle,ServiceLifecycle2,GATOR,8,17,8,0,1.0,yes
Lifecycle,ServiceLifecycle2,MAMADROID,8,18,7,1,0.875,yes
Lifecycle,ServiceLifecycle2,NATIDROID,8,2396,8,0,1.0,yes
Lifecycle,SharedPreferenceChanged1,Androguard,9,11,9,0,1.0,yes
Lifecycle,SharedPreferenceChanged1,FlowDroid,9,12,5,4,0.555556,yes
Lifecycle,SharedPreferenceChanged1,GATOR,9,16,6,3,0.666667,yes
Lifecycle,SharedPreferenceChanged1,MAMADROID,9,11,5,4,0.555556,yes
Lifecycle,SharedPreferenceChanged1,NATIDROID,9,2314,6,3,0.666667,yes
Reflection,Reflection1,Androguard,9,2731,9,0,1.0,yes
Reflection,Reflection1,FlowDroid,9,16,6,3,0.666667,yes
Reflection,Reflection1,GATOR,9,3486,9,0,1.0,yes
Reflection,Reflection1,MAMADROID,9,15,6,3,0.666667,yes
Reflection,Reflection1,NATIDROID,9,5759,9,0,1.0,yes
Reflection,Reflection2,Androguard,10,2732,10,0,1.0,yes
Reflection,Reflection2,FlowDroid,10,16,6,4,0.6,yes
Reflection,Reflection2,GATOR,10,3487,10,0,1.0,yes
Reflection,Reflection2,MAMADROID,10,15,6,4,0.6,yes
Reflection,Reflection2,NATIDROID,10,5760,10,0,1.0,yes
Reflection,Reflection3,Androguard,14,2733,14,0,1.0,yes
Reflection,Reflection3,FlowDroid,14,16,7,7,0.5,yes
Reflection,Reflection3,GATOR,14,3489,14,0,1.0,yes
Reflection,Reflection3,MAMADROID,14,15,7,7,0.5,yes
Reflection,Reflection3,NATIDROID,14,5762,14,0,1.0,yes
Reflection,Reflection4,Androguard,11,2733,11,0,1.0,yes
Reflection,Reflection4,FlowDroid,11,14,4,7,0.363636,yes
Reflection,Reflection4,GATOR,11,3488,11,0,1.0,yes
Reflection,Reflection4,MAMADROID,11,13,4,7,0.363636,yes
Reflection,Reflection4,NATIDROID,11,5761,11,0,1.0,yes
Threading,AsyncTask1,Androguard,10,4341,10,0,1.0,yes
Threading,AsyncTask1,FlowDroid,10,19,7,3,0.7,yes
Threading,AsyncTask1,GATOR,10,5373,10,0,1.0,yes
Threading,AsyncTask1,MAMADROID,10,18,7,3,0.7,yes
Threading,AsyncTask1,NATIDROID,10,7683,10,0,1.0,yes
Threading,Executor1,Androguard,10,4342,10,0,1.0,yes
Threading,Executor1,FlowDroid,10,17,7,3,0.7,yes
Threading,Executor1,GATOR,10,5371,10,0,1.0,yes
Threading,Executor1,MAMADROID,10,16,7,3,0.7,yes
Threading,Executor1,NATIDROID,10,7680,10,0,1.0,yes
Threading,JavaThread1,Androguard,9,4341,9,0,1.0,yes
Threading,JavaThread1,FlowDroid,9,18,7,2,0.777778,yes
Threading,JavaThread1,GATOR,9,5369,9,0,1.0,yes
Threading,JavaThread1,MAMADROID,9,17,7,2,0.777778,yes
Threading,JavaThread1,NATIDROID,9,7679,9,0,1.0,yes
Threading,JavaThread2,Androguard,9,4341,9,0,1.0,yes
Threading,JavaThread2,FlowDroid,9,19,7,2,0.777778,yes
Threading,JavaThread2,GATOR,9,5369,9,0,1.0,yes
Threading,JavaThread2,MAMADROID,9,18,7,2,0.777778,yes
Threading,JavaThread2,NATIDROID,9,7679,9,0,1.0,yes
Threading,Looper1,Androguard,316,7747,316,0,1.0,yes
Threading,Looper1,FlowDroid,316,33,13,303,0.041139,yes
Threading,Looper1,GATOR,316,9065,305,11,0.96519,yes
Threading,Looper1,MAMADROID,316,32,13,303,0.041139,yes
Threading,Looper1,NATIDROID,316,11334,305,11,0.96519,yes
