category,benchmark,tool,source_edge_count,static_edge_count,covered_count,missed_count,coverage,tool_output_present
ArraysAndLists,ArrayAccess2,Androguard,8,2344,8,0,1.0,yes
ArraysAndLists,ArrayAccess2,FlowDroid,8,11,5,3,0.625,yes
ArraysAndLists,ArrayAccess2,GATOR,8,2984,8,0,1.0,yes
ArraysAndLists,ArrayAccess2,MAMADROID,8,10,5,3,0.625,yes
ArraysAndLists,ArrayAccess2,NATIDROID,8,5288,8,0,1.0,yes
ArraysAndLists,ArrayCopy1,Androguard,7,7,7,0,1.0,yes
ArraysAndLists,ArrayCopy1,FlowDroid,7,12,6,1,0.857143,yes
ArraysAndLists,ArrayCopy1,GATOR,7,16,7,0,1.0,yes
ArraysAndLists,ArrayCopy1,MAMADROID,7,11,6,1,0.857143,yes
ArraysAndLists,ArrayCopy1,NATIDROID,7,2315,7,0,1.0,yes
ArraysAndLists,ArrayToString1,Androguard,7,7,7,0,1.0,yes
ArraysAndLists,ArrayToString1,FlowDroid,7,12,6,1,0.857143,yes
ArraysAndLists,ArrayToString1,GATOR,7,17,7,0,1.0,yes
ArraysAndLists,ArrayToString1,MAMADROID,7,11,6,1,0.857143,yes
ArraysAndLists,ArrayToString1,NATIDROID,7,2315,7,0,1.0,yes
ArraysAndLists,HashMapAccess1,Androguard,10,2729,10,0,1.0,yes
ArraysAndLists,HashMapAccess1,FlowDroid,10,13,8,2,0.8,yes
ArraysAndLists,HashMapAccess1,GATOR,10,3480,10,0,1.0,yes
ArraysAndLists,HashMapAccess1,MAMADROID,10,12,8,2,0.8,yes
ArraysAndLists,HashMapAccess1,NATIDROID,10,5755,10,0,1.0,yes
ArraysAndLists,ListAccess1,Androguard,10,2346,10,0,1.0,yes
ArraysAndLists,ListAccess1,FlowDroid,10,13,8,2,0.8,yes
ArraysAndLists,ListAccess1,GATOR,10,2984,10,0,1.0,yes
ArraysAndLists,ListAccess1,MAMADROID,10,12,8,2,0.8,yes
ArraysAndLists,ListAccess1,NATIDROID,10,5288,10,0,1.0,yes
ArraysAndLists,MultidimensionalArray1,Androguard,7,7,7,0,1.0,yes
ArraysAndLists,MultidimensionalArray1,FlowDroid,7,11,6,1,0.857143,yes
