tool,proxy,bucket,signature,all_tags
MAMADROID,privacy,location_and_sensors,<android.location.GnssStatus: boolean usedInFix(int)>,location
MAMADROID,privacy,location_and_sensors,<android.location.Location: boolean hasMslAltitude()>,location
MAMADROID,privacy,location_and_sensors,<android.hardware.Camera$Parameters: int getMaxZoom()>,camera
MAMADROID,privacy,location_and_sensors,<android.location.GnssStatus: int getSatelliteCount()>,location
MAMADROID,privacy,location_and_sensors,<android.hardware.Camera$Parameters: void setZoom(int)>,camera
MAMADROID,privacy,location_and_sensors,<android.location.GnssStatus$Callback: void onStarted()>,callback|location
MAMADROID,privacy,location_and_sensors,<android.hardware.Camera: void setDisplayOrientation(int)>,camera
MAMADROID,privacy,location_and_sensors,<android.location.GnssStatus$Callback: void onFirstFix(int)>,callback|location
MAMADROID,privacy,location_and_sensors,<android.hardware.Camera$Parameters: boolean isZoomSupported()>,camera
MAMADROID,privacy,location_and_sensors,<android.location.LocationManager: boolean isLocationEnabled()>,location
MAMADROID,privacy,location_and_sensors,<android.hardware.Camera$Parameters: java.lang.String flatten()>,camera
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.CookieManager: void flush()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.CookieSyncManager: void sync()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.ConsoleMessage: int lineNumber()>,webview
MAMADROID,privacy,web_and_exfil_primitives,"<android.webkit.WebView: void onMeasure(int,int)>",callback|webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setTextZoom(int)>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebView: void onAttachedToWindow()>,callback|webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setCacheMode(int)>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setForceDark(int)>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceError: int getErrorCode()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebView$HitTestResult: int getType()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.CookieManager: boolean acceptCookie()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean hasGesture()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceRequest: boolean isRedirect()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebResourceResponse: int getStatusCode()>,webview
MAMADROID,privacy,web_and_exfil_primitives,<android.webkit.WebSettings: void setDefaultFontSize(int)>,webview
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: void gc()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: void halt(int)>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: long maxMemory()>,reflection
MAMADROID,malware_evasion,reflection_and_dynamic_loading,<java.lang.Runtime: long freeMemory()>,reflection
