tool,proxy,bucket,signature,all_tags
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onDetachedFromWindow()>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.FragmentContainer: boolean onHasView()>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.widget.PopupWindow$OnDismissListener: void onDismiss()>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: void onWindowFocusChanged(boolean)>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.View$OnClickListener: void onClick(android.view.View)>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.ViewParent: void onStopNestedScroll(android.view.View)>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.webkit.ValueCallback: void onReceiveValue(java.lang.Object)>,callback|webview
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.ViewTreeObserver$OnPreDrawListener: boolean onPreDraw()>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.view.Window$Callback: android.view.View onCreatePanelView(int)>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,"<android.view.Window$Callback: void onPanelClosed(int,android.view.Menu)>",callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.FragmentHostCallback: java.lang.Object onGetHost()>,callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,"<android.view.Window$Callback: boolean onMenuOpened(int,android.view.Menu)>",callback
GATOR,malware_evasion,hidden_entrypoints_and_callbacks,<android.support.v4.app.Fragment$OnPreAttachedListener: void onPreAttached()>,callback
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: int getDeviceId()>,ipc|sensitive_api
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: void setTheme(int)>,ipc
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: boolean isUiContext()>,ipc
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getDataDir()>,ipc
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getCacheDir()>,ipc
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getFilesDir()>,ipc
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: java.io.File getCodeCacheDir()>,ipc
GATOR,malware_evasion,ipc_and_dispatch,<android.content.Context: android.os.Looper getMainLooper()>,ipc
