tool,signature,class_name,method_name,primary_tag,all_tags
ANDROGUARD,"<V0.N0: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",V0.N0,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<V0.s1: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",V0.s1,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<V4.x: void onReceive(android.content.Context,android.content.Intent)>",V4.x,onReceive,entrypoint,entrypoint
ANDROGUARD,"<Vj.m: boolean verify(java.lang.String,javax.net.ssl.SSLSession)>",Vj.m,verify,sensitive_api,sensitive_api
ANDROGUARD,"<X.010: void onRequestPermissionsResult(int,java.lang.String[],int[])>",X.010,onRequestPermissionsResult,entrypoint,entrypoint
ANDROGUARD,"<X.0fn: void onReceive(android.content.Context,android.content.Intent)>",X.0fn,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.0gF: void onReceive(android.content.Context,android.content.Intent)>",X.0gF,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.0l0: void onReceive(android.content.Context,android.content.Intent)>",X.0l0,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.0rc: void onReceive(android.content.Context,android.content.Intent)>",X.0rc,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.18F: void onReceive(android.content.Context,android.content.Intent)>",X.18F,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.19d: void onRequestPermissionsResult(int,java.lang.String[],int[])>",X.19d,onRequestPermissionsResult,entrypoint,entrypoint
ANDROGUARD,"<X.27U: android.webkit.WebResourceResponse shouldInterceptRequest(android.webkit.WebView,android.webkit.WebResourceRequest)>",X.27U,shouldInterceptRequest,entrypoint,entrypoint|sensitive_api|webview
ANDROGUARD,"<X.27U: android.webkit.WebResourceResponse shouldInterceptRequest(android.webkit.WebView,java.lang.String)>",X.27U,shouldInterceptRequest,entrypoint,entrypoint|sensitive_api|webview
ANDROGUARD,"<X.2Mt: void onActivityResult(int,int,android.content.Intent)>",X.2Mt,onActivityResult,entrypoint,entrypoint
ANDROGUARD,"<X.2R5: android.webkit.WebResourceResponse shouldInterceptRequest(android.webkit.WebView,android.webkit.WebResourceRequest)>",X.2R5,shouldInterceptRequest,entrypoint,entrypoint|sensitive_api|webview
ANDROGUARD,"<X.2R5: android.webkit.WebResourceResponse shouldInterceptRequest(android.webkit.WebView,java.lang.String)>",X.2R5,shouldInterceptRequest,entrypoint,entrypoint|sensitive_api|webview
ANDROGUARD,"<X.2UO: void onActivityResult(int,int,android.content.Intent)>",X.2UO,onActivityResult,entrypoint,entrypoint
ANDROGUARD,"<X.2cw: void evaluateJavascript(java.lang.String,android.webkit.ValueCallback)>",X.2cw,evaluateJavascript,entrypoint,entrypoint|sensitive_api|webview
ANDROGUARD,"<X.2k8: void onActivityResult(int,int,android.content.Intent)>",X.2k8,onActivityResult,entrypoint,entrypoint
ANDROGUARD,"<X.2kF: void onActivityResult(int,int,android.content.Intent)>",X.2kF,onActivityResult,entrypoint,entrypoint
ANDROGUARD,"<X.3gu: void onReceive(android.content.Context,android.content.Intent)>",X.3gu,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.41l: void onReceive(android.content.Context,android.content.Intent)>",X.41l,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.44f: void onActivityResult(int,int,android.content.Intent)>",X.44f,onActivityResult,entrypoint,entrypoint
ANDROGUARD,"<X.5az: void onReceive(android.content.Context,android.content.Intent)>",X.5az,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.7lJ: void onReceive(android.content.Context,android.content.Intent)>",X.7lJ,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.B0v: void onReceive(android.content.Context,android.content.Intent)>",X.B0v,onReceive,entrypoint,entrypoint
ANDROGUARD,"<X.v: android.text.Editable delete(int,int)>",X.v,delete,entrypoint,entrypoint|sensitive_api
ANDROGUARD,"<Z2.h: boolean onRequestPermissionsResult(int,java.lang.String[],int[])>",Z2.h,onRequestPermissionsResult,entrypoint,entrypoint
ANDROGUARD,"<Zf.b$b: void onReceive(android.content.Context,android.content.Intent)>",Zf.b$b,onReceive,entrypoint,entrypoint
ANDROGUARD,"<a0.l: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",a0.l,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<a6.e$a: void onReceive(android.content.Context,android.content.Intent)>",a6.e$a,onReceive,entrypoint,entrypoint
ANDROGUARD,"<ae.f: void onReceive(android.content.Context,android.content.Intent)>",ae.f,onReceive,entrypoint,entrypoint
ANDROGUARD,"<ak.h: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",ak.h,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<android.accounts.Account: void <init>(java.lang.String,java.lang.String)>",android.accounts.Account,<init>,accounts,accounts
ANDROGUARD,"<android.accounts.AccountManager: void addOnAccountsUpdatedListener(android.accounts.OnAccountsUpdateListener,android.os.Handler,boolean,java.lang.String[])>",android.accounts.AccountManager,addOnAccountsUpdatedListener,accounts,accounts
ANDROGUARD,"<android.accounts.AuthenticatorDescription: void <init>(java.lang.String,java.lang.String,int,int,int,int)>",android.accounts.AuthenticatorDescription,<init>,accounts,accounts
ANDROGUARD,"<android.animation.Animator$AnimatorListener: void onAnimationEnd(android.animation.Animator,boolean)>",android.animation.Animator$AnimatorListener,onAnimationEnd,callback,callback
ANDROGUARD,"<android.animation.Animator$AnimatorListener: void onAnimationStart(android.animation.Animator,boolean)>",android.animation.Animator$AnimatorListener,onAnimationStart,callback,callback
ANDROGUARD,"<android.app.Activity: android.view.View onCreateView(android.view.View,java.lang.String,android.content.Context,android.util.AttributeSet)>",android.app.Activity,onCreateView,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: android.view.View onCreateView(java.lang.String,android.content.Context,android.util.AttributeSet)>",android.app.Activity,onCreateView,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: boolean onCreatePanelMenu(int,android.view.Menu)>",android.app.Activity,onCreatePanelMenu,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: boolean onKeyDown(int,android.view.KeyEvent)>",android.app.Activity,onKeyDown,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: boolean onKeyUp(int,android.view.KeyEvent)>",android.app.Activity,onKeyUp,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: boolean onMenuItemSelected(int,android.view.MenuItem)>",android.app.Activity,onMenuItemSelected,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: boolean onMenuOpened(int,android.view.Menu)>",android.app.Activity,onMenuOpened,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",android.app.Activity,onPreparePanel,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: void addContentView(android.view.View,android.view.ViewGroup$LayoutParams)>",android.app.Activity,addContentView,component,component
ANDROGUARD,"<android.app.Activity: void onActivityResult(int,int,android.content.Intent)>",android.app.Activity,onActivityResult,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: void onPanelClosed(int,android.view.Menu)>",android.app.Activity,onPanelClosed,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: void onRequestPermissionsResult(int,java.lang.String[],int[])>",android.app.Activity,onRequestPermissionsResult,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: void onTitleChanged(java.lang.CharSequence,int)>",android.app.Activity,onTitleChanged,callback,callback|component|entrypoint
ANDROGUARD,"<android.app.Activity: void overridePendingTransition(int,int)>",android.app.Activity,overridePendingTransition,component,component
ANDROGUARD,"<android.app.Activity: void registerScreenCaptureCallback(java.util.concurrent.Executor,android.app.Activity$ScreenCaptureCallback)>",android.app.Activity,registerScreenCaptureCallback,component,component
ANDROGUARD,"<android.app.Activity: void requestPermissions(java.lang.String[],int)>",android.app.Activity,requestPermissions,component,component
ANDROGUARD,"<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>",android.app.Activity,setContentView,component,component
ANDROGUARD,"<android.app.Activity: void setResult(int,android.content.Intent)>",android.app.Activity,setResult,component,component
ANDROGUARD,"<android.app.Activity: void startActivityForResult(android.content.Intent,int)>",android.app.Activity,startActivityForResult,component,component
ANDROGUARD,"<android.app.Activity: void startActivityForResult(android.content.Intent,int,android.os.Bundle)>",android.app.Activity,startActivityForResult,component,component
ANDROGUARD,"<android.app.Activity: void startIntentSenderForResult(android.content.IntentSender,int,android.content.Intent,int,int,int,android.os.Bundle)>",android.app.Activity,startIntentSenderForResult,component,component
ANDROGUARD,"<android.app.ActivityManager$TaskDescription: void <init>(java.lang.String,int,int)>",android.app.ActivityManager$TaskDescription,<init>,component,component
ANDROGUARD,"<android.app.ActivityManager: java.util.List getHistoricalProcessExitReasons(java.lang.String,int,int)>",android.app.ActivityManager,getHistoricalProcessExitReasons,component,component
ANDROGUARD,"<android.app.ActivityOptions: android.app.ActivityOptions makeCustomAnimation(android.content.Context,int,int)>",android.app.ActivityOptions,makeCustomAnimation,component,component
ANDROGUARD,"<android.app.ActivityOptions: android.app.ActivityOptions makeScaleUpAnimation(android.view.View,int,int,int,int)>",android.app.ActivityOptions,makeScaleUpAnimation,component,component
ANDROGUARD,"<android.app.ActivityOptions: android.app.ActivityOptions makeSceneTransitionAnimation(android.app.Activity,android.view.View,java.lang.String)>",android.app.ActivityOptions,makeSceneTransitionAnimation,component,component
ANDROGUARD,"<android.app.Application$ActivityLifecycleCallbacks: void onActivityCreated(android.app.Activity,android.os.Bundle)>",android.app.Application$ActivityLifecycleCallbacks,onActivityCreated,callback,callback
ANDROGUARD,"<android.app.Application$ActivityLifecycleCallbacks: void onActivityPostCreated(android.app.Activity,android.os.Bundle)>",android.app.Application$ActivityLifecycleCallbacks,onActivityPostCreated,callback,callback
ANDROGUARD,"<android.app.Application$ActivityLifecycleCallbacks: void onActivityPostSaveInstanceState(android.app.Activity,android.os.Bundle)>",android.app.Application$ActivityLifecycleCallbacks,onActivityPostSaveInstanceState,callback,callback
ANDROGUARD,"<android.app.Application$ActivityLifecycleCallbacks: void onActivityPreCreated(android.app.Activity,android.os.Bundle)>",android.app.Application$ActivityLifecycleCallbacks,onActivityPreCreated,callback,callback
ANDROGUARD,"<android.app.Application$ActivityLifecycleCallbacks: void onActivityPreSaveInstanceState(android.app.Activity,android.os.Bundle)>",android.app.Application$ActivityLifecycleCallbacks,onActivityPreSaveInstanceState,callback,callback
