stem,category,package,launcher_activity,apk_path,dynamic_graph_path,dynamic_log_path,status,call_lines,unique_edges,events,throttle_ms,attempts_for_stem,started_at,finished_at,selection_rule
Dharan Hospital_1.0.20_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Dharan Hospital_1.0.20_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Document Scanner - PDF Scanner_16.0.57_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Document Scanner - PDF Scanner_16.0.57_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Dolphin Mobile_9.0.1003_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Dolphin Mobile_9.0.1003_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Drink Now_2.1.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Drink Now_2.1.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Duo Voice_4.4.29_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Duo Voice_4.4.29_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
DynaMedex_5.2.2_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/DynaMedex_5.2.2_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Easy Fix Handyman Technology_2.0.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Easy Fix Handyman Technology_2.0.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
EasyLogon_2.1.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/EasyLogon_2.1.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
EcoNet Smart Home_1.1.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/EcoNet Smart Home_1.1.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Edouard_1.49.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Edouard_1.49.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Elika - Pregnancy Tracking_3.8.4_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Elika - Pregnancy Tracking_3.8.4_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Elika Bebek_2.0.21_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Elika Bebek_2.0.21_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
English Speaking Practice_v3.4.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/English Speaking Practice_v3.4.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Esquel - Bus_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Esquel - Bus_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Export Comments_2.0.3_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Export Comments_2.0.3_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
FM Splendor 885_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/FM Splendor 885_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
FPHSA Portal_4.06.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/FPHSA Portal_4.06.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Facebook Lite_471.0.0.0.4_APKPure,social,com.facebook.lite,com.facebook.lite.MainActivity,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/social/Facebook Lite_471.0.0.0.4_APKPure.apk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Facebook Lite_471.0.0.0.4_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/Facebook Lite_471.0.0.0.4_APKPure.log,ok,9919,440,5000,0,4,2026-04-11T10:18:59,2026-04-11T10:22:53,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
Family locator and GPS tracker_2.0.12_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Family locator and GPS tracker_2.0.12_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Family360_3.7.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Family360_3.7.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Fammy_8.2.29.0722_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Fammy_8.2.29.0722_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Fancy keyboard fonts  Emoji_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Fancy keyboard fonts  Emoji_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
File Manager_3.6.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/File Manager_3.6.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
File Recovery Restore Data_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/File Recovery Restore Data_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
FindMesa_3.0.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/FindMesa_3.0.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Firda_2.5.17_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Firda_2.5.17_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Fit with Coco_3.25.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Fit with Coco_3.25.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Flouci_5.5.187_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Flouci_5.5.187_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
FlowView_1.4.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/FlowView_1.4.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Folha de SPaulo_5.9.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Folha de SPaulo_5.9.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Fonts Keyboard Themes_2.0.58_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Fonts Keyboard Themes_2.0.58_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Fountain_1.2.14_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Fountain_1.2.14_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
FreeSet_0.0.035_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/FreeSet_0.0.035_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Full Code_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Full Code_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Fusion Fitness_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Fusion Fitness_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
GAPhealth_1.0.48_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/GAPhealth_1.0.48_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
GPS Mobi_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/GPS Mobi_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Gafanhoto_3.20.51_APKPure,shopping,copyleft.by.pc,copyleft.by.pc.MainActivity,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/shopping/Gafanhoto_3.20.51_APKPure.xapk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Gafanhoto_3.20.51_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/Gafanhoto_3.20.51_APKPure.log,ok,101394,36480,5000,0,2,2026-04-11T15:50:38,2026-04-11T15:57:37,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
Game Aim Converter_1.3.190_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Game Aim Converter_1.3.190_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Georgian for AnySoftKeyboard_5.1.101_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Georgian for AnySoftKeyboard_5.1.101_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Gesture Lock Screen_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Gesture Lock Screen_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Ghost Box_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Ghost Box_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Goodsomnia Lab_3.0.3_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Goodsomnia Lab_3.0.3_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Google Earth_10.85.0.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Google Earth_10.85.0.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Google Maps Go_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Google Maps Go_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Greely To Go_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Greely To Go_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Grok_1.0.12-release.00_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Grok_1.0.12-release.00_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HA-Fit_2.2.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HA-Fit_2.2.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HALO_1.2.7_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HALO_1.2.7_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HEGO_7.24.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HEGO_7.24.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HI 15 Icon pack_10.9.2_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HI 15 Icon pack_10.9.2_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Happy Go Lucky Dog NJ_2.3.46_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Happy Go Lucky Dog NJ_2.3.46_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Happy birthday ringtone_1.0.5_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Happy birthday ringtone_1.0.5_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HappyMod_3.2.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HappyMod_3.2.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Harpa Cristã Cifrada_3.3.3_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Harpa Cristã Cifrada_3.3.3_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Hava_1.68.4_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Hava_1.68.4_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Healthify_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Healthify_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HereNOW Connect_4.3.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HereNOW Connect_4.3.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Heros Journey_4.3.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Heros Journey_4.3.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Home Assistant_2025.7.2-full_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Home Assistant_2025.7.2-full_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Homiladorlik davri_2.6.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Homiladorlik davri_2.6.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Hoppy_3.10.10_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Hoppy_3.10.10_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HouseCare_1.1.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HouseCare_1.1.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Huawei Health_15.1.6.310_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Huawei Health_15.1.6.310_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Husky Dog Wallpapers_4.0.husky_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Husky Dog Wallpapers_4.0.husky_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
HyperCar_2.0.26_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/HyperCar_2.0.26_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
IGAMES PS2_1.0.18_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/IGAMES PS2_1.0.18_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Icmav London_46.2.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Icmav London_46.2.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Indonesian Morning to Night_9.12.13.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Indonesian Morning to Night_9.12.13.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Infobip Messaging_5.4.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Infobip Messaging_5.4.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Inspired Minds_4.14.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Inspired Minds_4.14.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Instabridge WiFi Hotspot Map_22.2025.09.03.1916_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Instabridge WiFi Hotspot Map_22.2025.09.03.1916_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Ira_1.7.5_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Ira_1.7.5_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Iron Will_1.2.12_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Iron Will_1.2.12_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
ItluMee_1.0.5_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/ItluMee_1.0.5_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
JEREM_3.20.51_APKPure,shopping,com.bestapp.jerem,com.bestapp.jerem.MainActivity,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/shopping/JEREM_3.20.51_APKPure.xapk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/JEREM_3.20.51_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/JEREM_3.20.51_APKPure.log,ok,11432,11432,5000,0,2,2026-04-11T15:57:37,2026-04-11T16:02:25,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
JUIDECH_1.6.5_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/JUIDECH_1.6.5_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Jeedom App_1.0.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Jeedom App_1.0.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Joaquim Chaves Saúde_4.2.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Joaquim Chaves Saúde_4.2.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
KFC_8.9.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/KFC_8.9.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Kanz_2.10.6_APKPure,shopping,saja.ecommerce.yarin,saja.ecommerce.yarin.MainActivity,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/shopping/Kanz_2.10.6_APKPure.xapk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Kanz_2.10.6_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/Kanz_2.10.6_APKPure.log,ok,12447,12447,5000,0,2,2026-04-11T16:06:26,2026-04-11T16:09:22,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
Kağıthane Belediyesi_3.0.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Kağıthane Belediyesi_3.0.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
