proxy,benchmark_winner_tool,benchmark_winner_benchmark_rank,benchmark_winner_realapp_proxy_cov_pct,realapp_proxy_winner_tool,realapp_proxy_winner_realapp_proxy_cov_pct,delta_benchmark_winner_minus_best_pct
privacy,ANDROGUARD,1,72.21,GATOR,89.66,-17.45
malware_evasion,ANDROGUARD,1,73.44,GATOR,86.84,-13.4
