tool,signature,apps_as_dynamic_entry,class_name,method_name,primary_tag,all_tags,non_library,nonobf_strict
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityDestroyed(com.google.android.gms.dynamic.IObjectWrapper,long)>",33,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityDestroyed,callback,callback|entrypoint,no,yes
ANDROGUARD,"<okio.OutputStreamSink: void write(okio.Buffer,long)>",33,okio.OutputStreamSink,write,network,network,no,yes
ANDROGUARD,<okio.RealBufferedSource: void close()>,33,okio.RealBufferedSource,close,network,network,no,yes
ANDROGUARD,"<okhttp3.CipherSuite$Companion$ORDER_BY_NAME$1: int compare(java.lang.Object,java.lang.Object)>",30,okhttp3.CipherSuite$Companion$ORDER_BY_NAME$1,compare,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void headers(boolean,int,int,java.util.List)>",30,okhttp3.internal.http2.Http2Connection$ReaderRunnable,headers,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void settings(boolean,okhttp3.internal.http2.Settings)>",30,okhttp3.internal.http2.Http2Connection$ReaderRunnable,settings,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void windowUpdate(int,long)>",29,okhttp3.internal.http2.Http2Connection$ReaderRunnable,windowUpdate,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.platform.android.Android10SocketAdapter: void configureTlsExtensions(javax.net.ssl.SSLSocket,java.lang.String,java.util.List)>",29,okhttp3.internal.platform.android.Android10SocketAdapter,configureTlsExtensions,network,network|sensitive_api,no,yes
ANDROGUARD,"<okhttp3.internal.connection.RealConnection: void onSettings(okhttp3.internal.http2.Http2Connection,okhttp3.internal.http2.Settings)>",28,okhttp3.internal.connection.RealConnection,onSettings,network,network,no,yes
ANDROGUARD,"<okio.AsyncTimeout$sink$1: void write(okio.Buffer,long)>",28,okio.AsyncTimeout$sink$1,write,network,network,no,yes
ANDROGUARD,"<okio.RealBufferedSource: long read(okio.Buffer,long)>",28,okio.RealBufferedSource,read,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.connection.Exchange$ResponseBodySource: long read(okio.Buffer,long)>",27,okhttp3.internal.connection.Exchange$ResponseBodySource,read,network,network,no,yes
ANDROGUARD,"<okio.AsyncTimeout$source$1: long read(okio.Buffer,long)>",27,okio.AsyncTimeout$source$1,read,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.concurrent.TaskRunner$RealBackend: void coordinatorWait(okhttp3.internal.concurrent.TaskRunner,long)>",26,okhttp3.internal.concurrent.TaskRunner$RealBackend,coordinatorWait,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Reader$ContinuationSource: long read(okio.Buffer,long)>",26,okhttp3.internal.http2.Http2Reader$ContinuationSource,read,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Stream$FramingSource: long read(okio.Buffer,long)>",26,okhttp3.internal.http2.Http2Stream$FramingSource,read,network,network,no,yes
ANDROGUARD,"<io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$AnimationCallback: android.view.WindowInsets onProgress(android.view.WindowInsets,java.util.List)>",25,io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$AnimationCallback,onProgress,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void data(boolean,int,okio.BufferedSource,int)>",25,okhttp3.internal.http2.Http2Connection$ReaderRunnable,data,network,network,no,yes
ANDROGUARD,"<okio.RealBufferedSink: void write(okio.Buffer,long)>",25,okio.RealBufferedSink,write,network,network,no,yes
ANDROGUARD,"<androidx.fragment.app.FragmentActivity: boolean onCreatePanelMenu(int,android.view.Menu)>",24,androidx.fragment.app.FragmentActivity,onCreatePanelMenu,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.fragment.app.FragmentActivity: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",24,androidx.fragment.app.FragmentActivity,onPreparePanel,callback,callback|entrypoint,no,yes
ANDROGUARD,"<io.invertase.firebase.common.ReactNativeFirebaseInitProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",24,io.invertase.firebase.common.ReactNativeFirebaseInitProvider,attachInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<io.flutter.plugins.firebase.messaging.FlutterFirebaseMessagingInitProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",23,io.flutter.plugins.firebase.messaging.FlutterFirebaseMessagingInitProvider,attachInfo,callback,callback|entrypoint|sdk_mediated,no,yes
ANDROGUARD,"<okio.GzipSource: long read(okio.Buffer,long)>",23,okio.GzipSource,read,network,network,no,yes
ANDROGUARD,<com.facebook.react.bridge.CatalystInstanceImpl: com.facebook.react.bridge.JavaScriptModule getJSModule(java.lang.Class)>,21,com.facebook.react.bridge.CatalystInstanceImpl,getJSModule,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.CatalystInstanceImpl: void callFunction(java.lang.String,java.lang.String,com.facebook.react.bridge.NativeArray)>",21,com.facebook.react.bridge.CatalystInstanceImpl,callFunction,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$1: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",21,com.facebook.react.bridge.JavaMethodWrapper$1,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$5: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",21,com.facebook.react.bridge.JavaMethodWrapper$5,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper: void invoke(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray)>",21,com.facebook.react.bridge.JavaMethodWrapper,invoke,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaModuleWrapper: void invoke(int,com.facebook.react.bridge.ReadableNativeArray)>",21,com.facebook.react.bridge.JavaModuleWrapper,invoke,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaScriptModuleRegistry$JavaScriptModuleInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>",21,com.facebook.react.bridge.JavaScriptModuleRegistry$JavaScriptModuleInvocationHandler,invoke,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,<com.facebook.react.bridge.ReadableNativeArray: boolean getBoolean(int)>,21,com.facebook.react.bridge.ReadableNativeArray,getBoolean,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$b: android.view.WindowInsets onApplyWindowInsets(android.view.View,android.view.WindowInsets)>",21,io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$b,onApplyWindowInsets,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,<okio.internal.'-Path': void <clinit>()>,21,okio.internal.'-Path',<clinit>,network,network,no,no
ANDROGUARD,"<com.facebook.react.bridge.CatalystInstanceImpl: void invokeCallback(int,com.facebook.react.bridge.NativeArrayInterface)>",20,com.facebook.react.bridge.CatalystInstanceImpl,invokeCallback,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.CatalystInstanceImpl: void loadScriptFromAssets(android.content.res.AssetManager,java.lang.String,boolean)>",20,com.facebook.react.bridge.CatalystInstanceImpl,loadScriptFromAssets,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$2: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",20,com.facebook.react.bridge.JavaMethodWrapper$2,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$4: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",20,com.facebook.react.bridge.JavaMethodWrapper$4,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$6: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",20,com.facebook.react.bridge.JavaMethodWrapper$6,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$8: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",20,com.facebook.react.bridge.JavaMethodWrapper$8,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$9: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",20,com.facebook.react.bridge.JavaMethodWrapper$9,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,<com.facebook.react.bridge.ReadableNativeArray: double getDouble(int)>,20,com.facebook.react.bridge.ReadableNativeArray,getDouble,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,<okio.internal.'-Buffer': void <clinit>()>,20,okio.internal.'-Buffer',<clinit>,network,network,no,no
ANDROGUARD,"<com.facebook.react.bridge.JavaMethodWrapper$10: java.lang.Object extractArgument(com.facebook.react.bridge.JSInstance,com.facebook.react.bridge.ReadableArray,int)>",19,com.facebook.react.bridge.JavaMethodWrapper$10,extractArgument,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.UIManagerModule: void updateRootLayoutSpecs(int,int,int,int,int)>",19,com.facebook.react.uimanager.UIManagerModule,updateRootLayoutSpecs,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.swmansion.reanimated.ReanimatedPackage: com.facebook.react.bridge.NativeModule getModule(java.lang.String,com.facebook.react.bridge.ReactApplicationContext)>",19,com.swmansion.reanimated.ReanimatedPackage,getModule,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.a: void a(float,float,float)>",19,io.flutter.embedding.engine.a,a,sdk_mediated,sdk_mediated,no,no
ANDROGUARD,"<io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$InsetsListener: android.view.WindowInsets onApplyWindowInsets(android.view.View,android.view.WindowInsets)>",19,io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$InsetsListener,onApplyWindowInsets,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.sentry.android.core.SentryInitProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",19,io.sentry.android.core.SentryInitProvider,attachInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,<com.facebook.react.bridge.queue.MessageQueueThreadImpl: boolean runOnQueue(java.lang.Runnable)>,18,com.facebook.react.bridge.queue.MessageQueueThreadImpl,runOnQueue,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.ReanimatedUIManager: void createView(int,java.lang.String,int,com.facebook.react.bridge.ReadableMap)>",18,com.facebook.react.uimanager.ReanimatedUIManager,createView,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.facebook.react.uimanager.events.ReactEventEmitter: void receiveEvent(int,java.lang.String,com.facebook.react.bridge.WritableMap)>",18,com.facebook.react.uimanager.events.ReactEventEmitter,receiveEvent,sdk_mediated,sdk_mediated,no,yes
